Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
23/06/2017,2017,Jun,2434.65,2441.4,2431.11,2438.3,2438.3," 5,278,330,000 ",0.001496945
26/06/2017,2017,Jun,2443.32,2450.42,2437.03,2439.07,2439.07," 3,238,970,000 ",-0.001742467
27/06/2017,2017,Jun,2436.34,2440.15,2419.38,2419.38,2419.38," 3,563,910,000 ",-0.00701006
28/06/2017,2017,Jun,2428.7,2442.97,2428.02,2440.69,2440.69," 3,500,800,000 ",0.004912545
29/06/2017,2017,Jun,2442.38,2442.73,2405.7,2419.7,2419.7," 3,900,280,000 ",-0.009373063
30/06/2017,2017,Jun,2429.2,2432.71,2421.65,2423.41,2423.41," 3,361,590,000 ",-0.002389195
03/07/2017,2017,Jul,2431.39,2439.17,2428.69,2429.01,2429.01," 1,962,290,000 ",-0.000979823
05/07/2017,2017,Jul,2430.78,2434.9,2422.05,2432.54,2432.54," 3,367,220,000 ",0.000723524
06/07/2017,2017,Jul,2423.44,2424.28,2407.7,2409.75,2409.75," 3,364,520,000 ",-0.005681087
07/07/2017,2017,Jul,2413.52,2426.92,2413.52,2425.18,2425.18," 2,901,330,000 ",0.004807891
10/07/2017,2017,Jul,2424.51,2432,2422.27,2427.43,2427.43," 2,999,130,000 ",0.001202918
11/07/2017,2017,Jul,2427.35,2429.3,2412.79,2425.53,2425.53," 3,106,750,000 ",-0.000750351
12/07/2017,2017,Jul,2435.75,2445.76,2435.75,2443.25,2443.25," 3,171,620,000 ",0.003069682
13/07/2017,2017,Jul,2444.99,2449.32,2441.69,2447.83,2447.83," 3,067,670,000 ",0.001160211
14/07/2017,2017,Jul,2449.16,2463.54,2446.69,2459.27,2459.27," 2,736,640,000 ",0.004110976
17/07/2017,2017,Jul,2459.5,2462.82,2457.16,2459.14,2459.14," 2,793,170,000 ",-0.000146393
18/07/2017,2017,Jul,2455.88,2460.92,2450.34,2460.61,2460.61," 2,962,130,000 ",0.001922288
19/07/2017,2017,Jul,2463.85,2473.83,2463.85,2473.83,2473.83," 3,059,760,000 ",0.00403423
20/07/2017,2017,Jul,2475.56,2477.62,2468.43,2473.45,2473.45," 3,182,780,000 ",-0.000853059
21/07/2017,2017,Jul,2467.4,2472.54,2465.06,2472.54,2472.54," 3,059,570,000 ",0.002078834
24/07/2017,2017,Jul,2472.04,2473.1,2466.32,2469.91,2469.91," 3,010,240,000 ",-0.00086238
25/07/2017,2017,Jul,2477.88,2481.24,2474.91,2477.13,2477.13," 4,108,060,000 ",-0.00030277
26/07/2017,2017,Jul,2479.97,2481.69,2474.94,2477.83,2477.83," 3,557,020,000 ",-0.000863659
27/07/2017,2017,Jul,2482.76,2484.04,2459.93,2475.42,2475.42," 3,995,520,000 ",-0.002965153
28/07/2017,2017,Jul,2469.12,2473.53,2464.66,2472.1,2472.1," 3,294,770,000 ",0.001205453
31/07/2017,2017,Jul,2475.94,2477.96,2468.53,2470.3,2470.3," 3,469,210,000 ",-0.002283124
01/08/2017,2017,Aug,2477.1,2478.51,2471.14,2476.35,2476.35," 3,460,860,000 ",-0.000302865
02/08/2017,2017,Aug,2480.38,2480.38,2466.48,2477.57,2477.57," 3,478,580,000 ",-0.001134176
03/08/2017,2017,Aug,2476.03,2476.03,2468.85,2472.16,2472.16," 3,645,020,000 ",-0.001565433
04/08/2017,2017,Aug,2476.88,2480,2472.08,2476.83,2476.83," 3,235,140,000 ",-2.01871E-05
07/08/2017,2017,Aug,2477.14,2480.95,2475.88,2480.91,2480.91," 2,931,780,000 ",0.001519604
08/08/2017,2017,Aug,2478.35,2490.87,2470.32,2474.92,2474.92," 3,344,640,000 ",-0.001385903
09/08/2017,2017,Aug,2465.35,2474.41,2462.08,2474.02,2474.02," 3,308,060,000 ",0.003504418
10/08/2017,2017,Aug,2465.38,2465.38,2437.75,2438.21,2438.21," 3,621,070,000 ",-0.011143421
11/08/2017,2017,Aug,2441.04,2448.09,2437.85,2441.32,2441.32," 3,159,930,000 ",0.000114692
14/08/2017,2017,Aug,2454.96,2468.22,2454.96,2465.84,2465.84," 2,822,550,000 ",0.00441229
15/08/2017,2017,Aug,2468.66,2468.9,2461.61,2464.61,2464.61," 2,913,100,000 ",-0.001643262
16/08/2017,2017,Aug,2468.63,2474.93,2463.86,2468.11,2468.11," 2,953,650,000 ",-0.000210688
17/08/2017,2017,Aug,2462.95,2465.02,2430.01,2430.01,2430.01," 3,142,620,000 ",-0.0135555
18/08/2017,2017,Aug,2427.64,2440.27,2420.69,2425.55,2425.55," 3,415,680,000 ",-0.00086166
21/08/2017,2017,Aug,2425.5,2430.58,2417.35,2428.37,2428.37," 2,788,150,000 ",0.001181863
22/08/2017,2017,Aug,2433.75,2454.77,2433.67,2452.51,2452.51," 2,777,490,000 ",0.007649306
23/08/2017,2017,Aug,2444.88,2448.91,2441.42,2444.04,2444.04," 2,785,290,000 ",-0.000343693
24/08/2017,2017,Aug,2447.91,2450.39,2436.19,2438.97,2438.97," 2,846,590,000 ",-0.003665482
25/08/2017,2017,Aug,2444.72,2453.96,2442.22,2443.05,2443.05," 2,588,780,000 ",-0.000683572
28/08/2017,2017,Aug,2447.35,2449.12,2439.03,2444.24,2444.24," 2,677,700,000 ",-0.001272379
29/08/2017,2017,Aug,2431.94,2449.19,2428.2,2446.3,2446.3," 2,737,580,000 ",0.00587009
30/08/2017,2017,Aug,2446.06,2460.31,2443.77,2457.59,2457.59," 2,633,660,000 ",0.004691588
31/08/2017,2017,Aug,2462.65,2475.01,2462.65,2471.65,2471.65," 3,348,110,000 ",0.003641292
01/09/2017,2017,Sep,2474.42,2480.38,2473.85,2476.55,2476.55," 2,710,730,000 ",0.000860067
05/09/2017,2017,Sep,2470.35,2471.97,2446.55,2457.85,2457.85," 3,490,260,000 ",-0.005085746
06/09/2017,2017,Sep,2463.83,2469.64,2459.2,2465.54,2465.54," 3,374,410,000 ",0.00069356
07/09/2017,2017,Sep,2468.06,2468.62,2460.29,2465.1,2465.1," 3,353,930,000 ",-0.001200763
08/09/2017,2017,Sep,2462.25,2467.11,2459.4,2461.43,2461.43," 3,302,490,000 ",-0.00033314
11/09/2017,2017,Sep,2474.52,2488.95,2474.52,2488.11,2488.11," 3,291,760,000 ",0.005461977
12/09/2017,2017,Sep,2491.94,2496.77,2490.37,2496.48,2496.48," 3,230,920,000 ",0.001818561
13/09/2017,2017,Sep,2493.89,2498.37,2492.14,2498.37,2498.37," 3,368,050,000 ",0.001793169
14/09/2017,2017,Sep,2494.56,2498.43,2491.35,2495.62,2495.62," 3,414,460,000 ",0.000424744
15/09/2017,2017,Sep,2495.67,2500.23,2493.16,2500.23,2500.23," 4,853,170,000 ",0.001823832
18/09/2017,2017,Sep,2502.51,2508.32,2499.92,2503.87,2503.87," 3,194,300,000 ",0.000543159
19/09/2017,2017,Sep,2506.29,2507.84,2503.19,2506.65,2506.65," 3,249,100,000 ",0.000143618
20/09/2017,2017,Sep,2506.84,2508.85,2496.67,2508.24,2508.24," 3,530,010,000 ",0.00055816
21/09/2017,2017,Sep,2507.16,2507.16,2499,2500.6,2500.6," 2,930,860,000 ",-0.00262337
22/09/2017,2017,Sep,2497.26,2503.47,2496.54,2502.22,2502.22," 2,865,960,000 ",0.00198224
25/09/2017,2017,Sep,2499.39,2502.54,2488.03,2496.66,2496.66," 3,297,890,000 ",-0.001093461
26/09/2017,2017,Sep,2501.04,2503.51,2495.12,2496.84,2496.84," 3,043,110,000 ",-0.001682126
27/09/2017,2017,Sep,2503.3,2511.75,2495.91,2507.04,2507.04," 3,456,030,000 ",0.001491799
28/09/2017,2017,Sep,2503.41,2510.81,2502.93,2510.06,2510.06," 3,168,620,000 ",0.002649339
29/09/2017,2017,Sep,2509.96,2519.44,2507.99,2519.36,2519.36," 3,211,920,000 ",0.003731106
02/10/2017,2017,Oct,2521.2,2529.23,2520.4,2529.12,2529.12," 3,199,730,000 ",0.003131524
03/10/2017,2017,Oct,2530.34,2535.13,2528.85,2534.58,2534.58," 3,068,850,000 ",0.001672861
04/10/2017,2017,Oct,2533.48,2540.53,2531.8,2537.74,2537.74," 3,017,120,000 ",0.001678659
05/10/2017,2017,Oct,2540.86,2552.51,2540.02,2552.07,2552.07," 3,045,120,000 ",0.004392513
06/10/2017,2017,Oct,2547.44,2549.41,2543.79,2549.33,2549.33," 2,884,570,000 ",0.000741371
09/10/2017,2017,Oct,2551.39,2551.82,2541.6,2544.73,2544.73," 2,483,970,000 ",-0.002617174
10/10/2017,2017,Oct,2549.99,2555.23,2544.86,2550.64,2550.64," 2,960,500,000 ",0.000254838
11/10/2017,2017,Oct,2550.62,2555.24,2547.95,2555.24,2555.24," 2,976,090,000 ",0.001808049
12/10/2017,2017,Oct,2552.88,2555.33,2548.31,2550.93,2550.93," 3,151,510,000 ",-0.000764427
13/10/2017,2017,Oct,2555.66,2557.65,2552.09,2553.17,2553.17," 3,149,440,000 ",-0.000975258
16/10/2017,2017,Oct,2555.57,2559.47,2552.64,2557.64,2557.64," 2,916,020,000 ",0.00080934
17/10/2017,2017,Oct,2557.17,2559.71,2554.69,2559.36,2559.36," 2,889,390,000 ",0.000855683
18/10/2017,2017,Oct,2562.87,2564.11,2559.67,2561.26,2561.26," 2,998,090,000 ",-0.000628597
19/10/2017,2017,Oct,2553.39,2562.36,2547.92,2562.1,2562.1," 2,990,710,000 ",0.003399555
20/10/2017,2017,Oct,2567.56,2575.44,2567.56,2575.21,2575.21," 3,384,650,000 ",0.002970632
23/10/2017,2017,Oct,2578.08,2578.29,2564.33,2564.98,2564.98," 3,211,710,000 ",-0.005107252
24/10/2017,2017,Oct,2568.66,2572.18,2565.58,2569.13,2569.13," 3,427,330,000 ",0.000182941
25/10/2017,2017,Oct,2566.52,2567.4,2544,2557.15,2557.15," 3,874,510,000 ",-0.003664236
26/10/2017,2017,Oct,2560.08,2567.07,2559.8,2560.4,2560.4," 3,869,050,000 ",0.00012498
27/10/2017,2017,Oct,2570.26,2582.98,2565.94,2581.07,2581.07," 3,887,110,000 ",0.004188186
30/10/2017,2017,Oct,2577.75,2580.03,2568.25,2572.83,2572.83," 3,658,870,000 ",-0.001912291
31/10/2017,2017,Oct,2575.99,2578.29,2572.15,2575.26,2575.26," 3,827,230,000 ",-0.000283467
01/11/2017,2017,Nov,2583.21,2588.4,2574.92,2579.36,2579.36," 3,813,180,000 ",-0.001492618
02/11/2017,2017,Nov,2579.46,2581.11,2566.17,2579.85,2579.85," 4,048,270,000 ",0.000151172
03/11/2017,2017,Nov,2581.93,2588.42,2576.77,2587.84,2587.84," 3,567,710,000 ",0.002283758
06/11/2017,2017,Nov,2587.47,2593.38,2585.66,2591.13,2591.13," 3,539,080,000 ",0.001412511
07/11/2017,2017,Nov,2592.11,2597.02,2584.35,2590.64,2590.64," 3,809,650,000 ",-0.000567427
08/11/2017,2017,Nov,2588.71,2595.47,2585.02,2594.38,2594.38," 3,899,360,000 ",0.002185493
